variant_id,quantity,restock_level,created_at,updated_at
1,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
2,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
3,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
4,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
5,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
6,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
7,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
8,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
9,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
10,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
11,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
12,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
13,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
14,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
15,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
16,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
17,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
18,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
19,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
20,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
21,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
22,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
23,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
24,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
25,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
26,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
27,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
28,20,5,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
29,20,5,2025-05-22 11:37:22+05:30,2025-05-22 11:37:22+05:30
30,20,5,2025-05-22 11:37:22+05:30,2025-05-22 11:37:22+05:30
31,20,5,2025-05-22 11:37:22+05:30,2025-05-22 11:37:22+05:30
32,20,5,2025-05-22 11:37:22+05:30,2025-05-22 11:37:22+05:30
