variant_id,product_id,mrp,discount_percent,current_price,color,size,img_url,est_delivery_time,created_at,updated_at
1,1,1914.32,30,1340.02,Black,S,,4 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
2,1,1685.04,10,1516.54,Black,M,,7 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
3,1,1736.34,30,1215.44,Black,L,,7 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
4,1,706.87,10,636.18,Black,XL,,5 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
5,1,687.47,20,549.98,Grey,S,,6 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
6,1,781.07,30,546.75,Grey,M,,4 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
7,1,1772.88,20,1418.3,Grey,L,,2 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
8,1,1860.63,50,930.32,Grey,XL,,3 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
9,1,1030.94,40,618.56,Green,S,,3 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
10,1,1470.92,40,882.55,Green,M,,5 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
11,1,1883.1,50,941.55,Green,L,,2 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
12,1,768.95,10,692.06,Green,XL,,3 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
13,1,1665.38,30,1165.77,Red,S,,7 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
14,1,1656.94,10,1491.25,Red,M,,3 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
15,1,1314.54,40,788.72,Red,L,,6 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
16,1,1731.89,40,1039.13,Red,XL,,3 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
17,1,1826.07,40,1095.64,White,S,,4 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
18,1,1427.44,20,1141.95,White,M,,5 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
19,1,1529.18,50,764.59,White,L,,2 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
20,1,1190.1,10,1071.09,White,XL,,1 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
21,1,1708.84,20,1367.07,Blue,S,,5 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
22,1,1230.83,40,738.5,Blue,M,,4 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
23,1,1807.12,40,1084.27,Blue,L,,4 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
24,1,1008.28,40,604.97,Blue,XL,,5 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
25,1,752.29,30,526.6,Brown,S,,5 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
26,1,1132.97,40,679.78,Brown,M,,4 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
27,1,1903.68,20,1522.94,Brown,L,,3 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
28,1,1183.54,20,946.83,Brown,XL,,6 days,2025-06-14 06:57:32+0530,2025-06-14 06:57:32+0530
29,2,1955.13,10,1759.62,Black,S,,6 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
30,2,1344.86,30,941.4,Black,M,,3 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
31,2,1456,20,1164.8,Black,L,,7 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
32,2,1049.58,10,944.62,Black,XL,,2 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
33,2,1772.92,40,1063.75,Grey,S,,2 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
34,2,651,20,520.8,Grey,M,,4 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
35,2,1048.44,40,629.06,Grey,L,,2 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
36,2,1033.59,10,930.23,Grey,XL,,2 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
37,2,590.81,10,531.73,Green,S,,3 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
38,2,1925.07,40,1155.04,Green,M,,2 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
39,2,737.67,50,368.83,Green,L,,4 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
40,2,990.36,50,495.18,Green,XL,,3 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
41,2,795.93,40,477.56,Red,S,,4 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
42,2,1942.06,10,1747.85,Red,M,,7 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
43,2,525.22,20,420.18,Red,L,,5 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
44,2,1381.25,50,690.62,Red,XL,,1 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
45,2,1464.7,30,1025.29,White,S,,1 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
46,2,801.93,10,721.74,White,M,,3 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
47,2,744.03,10,669.63,White,L,,6 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
48,2,1719.31,50,859.65,White,XL,,7 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
49,2,647.4,40,388.44,Blue,S,,3 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
50,2,531.89,40,319.13,Blue,M,,3 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
51,2,1458.7,40,875.22,Blue,L,,1 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
52,2,1270.72,30,889.5,Blue,XL,,2 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
53,2,1996.73,40,1198.04,Brown,S,,2 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
54,2,1185.19,10,1066.67,Brown,M,,3 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
55,2,1284.17,40,770.5,Brown,L,,2 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
56,2,1343.25,30,940.28,Brown,XL,,5 days,2025-05-22 11:37:22+0530,2025-05-22 11:37:22+0530
57,3,1720.77,30,1204.54,Black,S,,2 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
58,3,1846.44,50,923.22,Black,M,,1 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
59,3,803.55,10,723.19,Black,L,,7 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
60,3,881.12,40,528.67,Black,XL,,3 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
61,3,1376.95,20,1101.56,Grey,S,,3 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
62,3,1259.79,50,629.89,Grey,M,,4 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
63,3,1388.52,50,694.26,Grey,L,,3 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
64,3,1068.71,10,961.84,Grey,XL,,5 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
65,3,1263.63,10,1137.27,Green,S,,5 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
66,3,1007.46,50,503.73,Green,M,,3 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
67,3,1245.04,10,1120.54,Green,L,,1 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
68,3,1425.28,40,855.17,Green,XL,,2 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
69,3,1321.63,10,1189.47,Red,S,,2 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
70,3,891.97,40,535.18,Red,M,,3 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
71,3,1726.04,40,1035.62,Red,L,,6 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
72,3,1654.43,20,1323.54,Red,XL,,6 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
73,3,817.71,20,654.17,White,S,,5 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
74,3,1465.43,10,1318.89,White,M,,4 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
75,3,1481.93,20,1185.54,White,L,,4 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
76,3,1427.04,10,1284.34,White,XL,,6 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
77,3,1762.68,20,1410.14,Blue,S,,6 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
78,3,774.27,10,696.84,Blue,M,,5 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
79,3,558.44,40,335.06,Blue,L,,6 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
